parameter_or_group,rationale,boundary_note
cgm_sampling_interval_minutes,Uses public CGM sampling characteristics to calibrate latent workload density.,"Observed/public, not patient-level data."
aggregation_window_hours,Prevents each high-frequency sample from becoming an evidence object.,Design minimisation assumption.
patients_per_scenario,Provides a stable comparative workload scale across scenarios.,"Scenario-based, not an empirical estimate."
simulation_horizon_days,Allows daily provenance and integrity anchors to accumulate without presenting a long-term deployment.,Scenario-based common horizon.
access_rate_per_patient_day,Varied by scenario to stress verification effort.,"Scenario-based, not a measured utilisation rate."
revocation_probability_over_horizon,Varied by scenario to model consent volatility.,"Scenario-based, not a measured patient behaviour rate."
organisations,Represents increasing governance complexity and replication burden.,Scenario-based.
signature_profile,Compares compact classical-size evidence with ML-DSA-44-sized evidence.,Standards-informed model parameter.
payload_reference_mb,Provides a fixed denominator for the evidence-to-payload ratio.,Model assumption used only for proportional comparison.
write_cost_units,Normalised effort units for evidence writing; not milliseconds.,Model assumption for relative comparison.
verification_units,Normalised effort units for evidence verification; not milliseconds.,Model assumption for relative comparison.
Ledger Justification Index,"Decision-support heuristic based on dispute risk, organisation count, revocation complexity and signature penalty.","Heuristic, not externally validated."
